sequence,input0_bits,input1_bits,input2_bits,input3_bits,output_bits,actuator_permille,wall_ns
1008,3d514e3c,3f100000,3c656042,3f27ef9e,3f27dfe2,656,143791
1009,3d5028a2,3f100000,3c656042,3f27ef9e,3f27c807,655,143792
1010,3d4f1801,3f100000,3c54fdf4,3f27ae14,3f27b71f,655,144375
1011,3d4df267,3f100000,3c656042,3f27ae14,3f279378,655,143500
1012,3d4ce1c6,3f100000,3c54fdf4,3f27ae14,3f27891e,654,144375
1013,3d4bd124,3f100000,3c54fdf4,3f276c8b,3f276c69,654,144375
1014,3d4ac083,3f100000,3c54fdf4,3f276c8b,3f275642,654,143792
1015,3d49afe2,3f100000,3c54fdf4,3f276c8b,3f27401b,653,144083
1016,3d489f41,3f100000,3c54fdf4,3f272b02,3f272367,653,144083
1017,3d478e9f,3f100000,3c54fdf4,3f272b02,3f270d40,653,143792
1018,3d4692f7,3f100000,3c449ba6,3f272b02,3f27049a,652,142625
1019,3d458256,3f100000,3c54fdf4,3f26e979,3f26dc1a,652,143791
1020,3d4486ad,3f100000,3c449ba6,3f26e979,3f26d373,652,144083
1021,3d438b05,3f100000,3c449ba6,3f26e979,3f26bf01,651,143792
1022,3d428f5c,3f100000,3c449ba6,3f26a7f0,3f26a400,651,143791
1023,3d41a8ac,3f100000,3c343958,3f26a7f0,3f269d0e,651,143792
1024,3d40ad04,3f100000,3c449ba6,3f26a7f0,3f267cd0,650,144083
1025,3d3fb15b,3f100000,3c449ba6,3f266666,3f2661cf,650,146125
1026,3d3ecaac,3f100000,3c343958,3f266666,3f265add,650,144375
1027,3d3de3fc,3f100000,3c343958,3f266666,3f26481f,650,143792
1028,3d3ce853,3f100000,3c449ba6,3f266666,3f2627e0,649,144375
1029,3d3c01a3,3f100000,3c343958,3f2624dd,3f261a60,649,144959
1030,3d3b2fec,3f100000,3c23d70a,3f2624dd,3f261522,649,144083
1031,3d3a493d,3f100000,3c343958,3f2624dd,3f25f698,648,144666
1032,3d39628d,3f100000,3c343958,3f25e354,3f25dd4c,648,144375
1033,3d3890d6,3f100000,3c23d70a,3f25e354,3f25d80e,648,144375
1034,3d37aa26,3f100000,3c343958,3f25e354,3f25b984,647,143208
1035,3d36d86f,3f100000,3c23d70a,3f25a1cb,3f25adb8,647,145250
1036,3d3606b8,3f100000,3c23d70a,3f25a1cb,3f259cae,647,145250
1037,3d353501,3f100000,3c23d70a,3f25a1cb,3f258ba4,647,143791
1038,3d346349,3f100000,3c23d70a,3f25a1cb,3f257a99,646,144084
