workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sync-cycle,baseline,3acc11385,2,4,,,,8146,231,5853
sync-cycle,baseline,3acc11385,2,5,,,,7490,173,5177
sync-cycle,baseline,3acc11385,2,6,,,,7896,226,5305
sync-cycle,baseline,3acc11385,2,7,,,,7834,228,7502
sync-cycle,baseline,3acc11385,2,8,,,,7773,249,5250
sync-cycle,baseline,3acc11385,2,9,,,,7813,178,5258
sync-cycle,baseline,3acc11385,2,10,,,,7917,281,5632
sync-cycle,baseline,3acc11385,2,11,,,,7657,175,5437
sync-cycle,baseline,3acc11385,2,12,,,,8602,196,5473
sync-cycle,baseline,3acc11385,2,13,,,,7657,193,5118
sync-cycle,baseline,3acc11385,2,14,,,,7914,221,5224
sync-cycle,baseline,3acc11385,2,15,,,,8254,214,5472
sync-cycle,baseline,3acc11385,2,16,,,,8109,210,5088
sync-cycle,baseline,3acc11385,2,17,,,,7858,208,5283
sync-cycle,baseline,3acc11385,2,18,,,,7566,210,5472
sync-cycle,baseline,3acc11385,2,19,,,,8397,211,5310
sync-cycle,implementation,b80dd453f,2,0,,,,7525,295,5518
sync-cycle,implementation,b80dd453f,2,1,,,,8075,217,5637
sync-cycle,implementation,b80dd453f,2,2,,,,7519,196,5533
sync-cycle,implementation,b80dd453f,2,3,,,,8836,290,20441
sync-cycle,implementation,b80dd453f,2,4,,,,7661,201,5283
sync-cycle,implementation,b80dd453f,2,5,,,,7841,211,5297
sync-cycle,implementation,b80dd453f,2,6,,,,7872,193,5682
sync-cycle,implementation,b80dd453f,2,7,,,,7845,224,5690
sync-cycle,implementation,b80dd453f,2,8,,,,8691,230,5660
sync-cycle,implementation,b80dd453f,2,9,,,,11179,239,7112
sync-cycle,implementation,b80dd453f,2,10,,,,11031,355,8755
sync-cycle,implementation,b80dd453f,2,11,,,,10643,271,6887
sync-cycle,implementation,b80dd453f,2,12,,,,8589,267,5790
sync-cycle,implementation,b80dd453f,2,13,,,,8644,266,5586
sync-cycle,implementation,b80dd453f,2,14,,,,8094,220,5340
sync-cycle,implementation,b80dd453f,2,15,,,,8170,224,6189
sync-cycle,implementation,b80dd453f,2,16,,,,7678,215,5264
sync-cycle,implementation,b80dd453f,2,17,,,,8277,252,5754
sync-cycle,implementation,b80dd453f,2,18,,,,8214,262,5648
sync-cycle,implementation,b80dd453f,2,19,,,,8270,266,5218
sequential,implementation,b80dd453f,3,0,6535511,6079364,18550,,,
sequential,implementation,b80dd453f,3,1,6522296,6118220,19271,,,
sequential,implementation,b80dd453f,3,2,6450171,6114919,17663,,,
sequential,implementation,b80dd453f,3,3,6427337,6207105,18215,,,
sequential,implementation,b80dd453f,3,4,6885015,6664202,18600,,,
sequential,implementation,b80dd453f,3,5,6495283,6162215,18911,,,
sequential,implementation,b80dd453f,3,6,6539712,6145323,18159,,,
sequential,implementation,b80dd453f,3,7,6473163,6071815,18070,,,
sequential,implementation,b80dd453f,3,8,6493624,6081556,17519,,,
sequential,implementation,b80dd453f,3,9,6574731,6131551,16759,,,
sequential,implementation,b80dd453f,3,10,6439064,6117625,18041,,,
sequential,implementation,b80dd453f,3,11,6245017,6425391,17411,,,
sequential,implementation,b80dd453f,3,12,6240172,6467063,17772,,,
sequential,implementation,b80dd453f,3,13,6413789,6187865,17811,,,
sequential,implementation,b80dd453f,3,14,6812766,6390588,17694,,,
sequential,implementation,b80dd453f,3,15,6354387,6015222,18781,,,
sequential,implementation,b80dd453f,3,16,6452752,6376583,17750,,,
sequential,implementation,b80dd453f,3,17,6240543,7072943,19435,,,
sequential,implementation,b80dd453f,3,18,7046670,7728410,20233,,,
sequential,implementation,b80dd453f,3,19,7301554,7033527,18627,,,
sequential,baseline,3acc11385,3,0,6333035,6277554,16681,,,
sequential,baseline,3acc11385,3,1,6329808,6047563,17390,,,
sequential,baseline,3acc11385,3,2,6464472,6108938,17557,,,
sequential,baseline,3acc11385,3,3,6534179,6043721,18870,,,
sequential,baseline,3acc11385,3,4,6328077,6040201,17320,,,
sequential,baseline,3acc11385,3,5,6325101,6085983,17556,,,
sequential,baseline,3acc11385,3,6,6331872,6076355,19133,,,
sequential,baseline,3acc11385,3,7,6326436,6051523,17477,,,
sequential,baseline,3acc11385,3,8,6329040,6047819,16761,,,
sequential,baseline,3acc11385,3,9,6332109,6030587,16783,,,
sequential,baseline,3acc11385,3,10,6338338,6241656,17757,,,
sequential,baseline,3acc11385,3,11,6492733,6029922,18226,,,
sequential,baseline,3acc11385,3,12,6294574,6204563,17170,,,
sequential,baseline,3acc11385,3,13,6450882,6433482,17531,,,
sequential,baseline,3acc11385,3,14,6244218,6190553,17058,,,
sequential,baseline,3acc11385,3,15,6696862,6268117,18192,,,
sequential,baseline,3acc11385,3,16,6696722,6591290,17797,,,
sequential,baseline,3acc11385,3,17,6601217,6357580,18121,,,
sequential,baseline,3acc11385,3,18,6318729,6042870,17000,,,
sequential,baseline,3acc11385,3,19,6329721,6155261,16541,,,
sync-cycle,implementation,b80dd453f,3,0,,,,8766,235,5799
sync-cycle,implementation,b80dd453f,3,1,,,,10585,225,6793
sync-cycle,implementation,b80dd453f,3,2,,,,9591,231,6499
sync-cycle,implementation,b80dd453f,3,3,,,,9165,260,6344
sync-cycle,implementation,b80dd453f,3,4,,,,8723,242,5709
sync-cycle,implementation,b80dd453f,3,5,,,,8357,242,5652
sync-cycle,implementation,b80dd453f,3,6,,,,8401,215,5490
sync-cycle,implementation,b80dd453f,3,7,,,,7884,189,5524
sync-cycle,implementation,b80dd453f,3,8,,,,7730,197,5382
sync-cycle,implementation,b80dd453f,3,9,,,,8359,235,5768
sync-cycle,implementation,b80dd453f,3,10,,,,8249,200,5298
sync-cycle,implementation,b80dd453f,3,11,,,,11575,373,7572
sync-cycle,implementation,b80dd453f,3,12,,,,8391,226,5791
sync-cycle,implementation,b80dd453f,3,13,,,,8283,235,7020
sync-cycle,implementation,b80dd453f,3,14,,,,8503,263,5534
sync-cycle,implementation,b80dd453f,3,15,,,,8155,208,5567
sync-cycle,implementation,b80dd453f,3,16,,,,8685,194,5622
sync-cycle,implementation,b80dd453f,3,17,,,,7655,195,5544
sync-cycle,implementation,b80dd453f,3,18,,,,8114,196,5482
sync-cycle,implementation,b80dd453f,3,19,,,,7681,209,5089
sync-cycle,baseline,3acc11385,3,0,,,,8292,181,5261
sync-cycle,baseline,3acc11385,3,1,,,,8509,271,5475
sync-cycle,baseline,3acc11385,3,2,,,,8436,258,5520
sync-cycle,baseline,3acc11385,3,3,,,,8500,237,5421
sync-cycle,baseline,3acc11385,3,4,,,,8375,212,5546
sync-cycle,baseline,3acc11385,3,5,,,,7942,218,5427
sync-cycle,baseline,3acc11385,3,6,,,,8186,215,5245
sync-cycle,baseline,3acc11385,3,7,,,,8319,225,5636
sync-cycle,baseline,3acc11385,3,8,,,,8830,245,5851
sync-cycle,baseline,3acc11385,3,9,,,,8517,229,5965
sync-cycle,baseline,3acc11385,3,10,,,,8663,225,5736
sync-cycle,baseline,3acc11385,3,11,,,,8277,247,5761
sync-cycle,baseline,3acc11385,3,12,,,,8385,225,5442
sync-cycle,baseline,3acc11385,3,13,,,,7842,196,5144
sync-cycle,baseline,3acc11385,3,14,,,,8176,249,5333
sync-cycle,baseline,3acc11385,3,15,,,,8419,225,5666
sync-cycle,baseline,3acc11385,3,16,,,,8421,212,5441
sync-cycle,baseline,3acc11385,3,17,,,,7884,247,5233
sync-cycle,baseline,3acc11385,3,18,,,,8184,220,5309
sync-cycle,baseline,3acc11385,3,19,,,,8329,234,5257
sequential,baseline,3acc11385,4,0,6858629,6399802,44620,,,
sequential,baseline,3acc11385,4,1,6602087,6213893,19433,,,
sequential,baseline,3acc11385,4,2,6486540,6378998,17803,,,
sequential,baseline,3acc11385,4,3,6435044,6800945,17832,,,
sequential,baseline,3acc11385,4,4,6560639,6050556,18132,,,
sequential,baseline,3acc11385,4,5,6455531,6099869,16931,,,
sequential,baseline,3acc11385,4,6,6311691,6477330,18473,,,
sequential,baseline,3acc11385,4,7,6423204,6021426,18097,,,
sequential,baseline,3acc11385,4,8,6395407,6287513,18191,,,
sequential,baseline,3acc11385,4,9,6864983,6167321,17027,,,
sequential,baseline,3acc11385,4,10,6787940,6507713,17638,,,
sequential,baseline,3acc11385,4,11,6419290,6652350,19987,,,
sequential,baseline,3acc11385,4,12,6376203,7417804,18060,,,
sequential,baseline,3acc11385,4,13,6836233,6989503,18847,,,
sequential,baseline,3acc11385,4,14,6389858,6120664,21079,,,
sequential,baseline,3acc11385,4,15,6433463,6475916,18077,,,
sequential,baseline,3acc11385,4,16,6467822,6040730,18069,,,
sequential,baseline,3acc11385,4,17,7470006,7077003,18212,,,
sequential,baseline,3acc11385,4,18,6316215,6094680,17864,,,
sequential,baseline,3acc11385,4,19,6648274,6302811,18017,,,
sequential,implementation,b80dd453f,4,0,6669412,6305306,18851,,,
sequential,implementation,b80dd453f,4,1,6513348,7370418,18888,,,
sequential,implementation,b80dd453f,4,2,7077159,7710453,20726,,,
sequential,implementation,b80dd453f,4,3,7060688,6760823,21865,,,
sequential,implementation,b80dd453f,4,4,6897083,6808159,18717,,,
sequential,implementation,b80dd453f,4,5,6482923,6106382,17557,,,
sequential,implementation,b80dd453f,4,6,6513681,6011190,19663,,,
sequential,implementation,b80dd453f,4,7,6472611,6210181,18097,,,
sequential,implementation,b80dd453f,4,8,6334925,6001026,19111,,,
sequential,implementation,b80dd453f,4,9,6383342,6037397,20710,,,
sequential,implementation,b80dd453f,4,10,6329073,6120755,18324,,,
sequential,implementation,b80dd453f,4,11,6371062,6023429,18397,,,
sequential,implementation,b80dd453f,4,12,6323039,5993476,19010,,,
sequential,implementation,b80dd453f,4,13,6349927,6159571,18748,,,
sequential,implementation,b80dd453f,4,14,6430776,6196322,18460,,,
sequential,implementation,b80dd453f,4,15,6482350,6114768,18139,,,
sequential,implementation,b80dd453f,4,16,6291426,6373016,18740,,,
sequential,implementation,b80dd453f,4,17,6668802,6024040,20580,,,
sequential,implementation,b80dd453f,4,18,6358391,6069224,18279,,,
sequential,implementation,b80dd453f,4,19,6493767,6111314,20983,,,
sync-cycle,baseline,3acc11385,4,0,,,,8583,234,5588
sync-cycle,baseline,3acc11385,4,1,,,,7682,224,5282
sync-cycle,baseline,3acc11385,4,2,,,,8274,191,5759
sync-cycle,baseline,3acc11385,4,3,,,,8345,229,5585
sync-cycle,baseline,3acc11385,4,4,,,,8867,222,5559
sync-cycle,baseline,3acc11385,4,5,,,,7715,241,5060
sync-cycle,baseline,3acc11385,4,6,,,,8426,199,5450
sync-cycle,baseline,3acc11385,4,7,,,,7443,183,5124
sync-cycle,baseline,3acc11385,4,8,,,,8525,227,5527
sync-cycle,baseline,3acc11385,4,9,,,,8122,208,5284
sync-cycle,baseline,3acc11385,4,10,,,,8104,184,5435
sync-cycle,baseline,3acc11385,4,11,,,,8483,215,5670
sync-cycle,baseline,3acc11385,4,12,,,,9127,201,5932
sync-cycle,baseline,3acc11385,4,13,,,,10025,241,6451
sync-cycle,baseline,3acc11385,4,14,,,,10105,263,6757
sync-cycle,baseline,3acc11385,4,15,,,,11120,253,7388
