commit,batch,position,run,dirty_sync_ns,clean_sync_ns,unmount_ns
aaf882ecf,9,0,3,13341,224,9405
aaf882ecf,9,0,4,13282,202,9735
aaf882ecf,9,0,5,14172,216,8073
aaf882ecf,9,0,6,13787,209,9294
aaf882ecf,9,0,7,19778,634,13273
aaf882ecf,9,0,8,16979,465,12254
aaf882ecf,9,0,9,14555,251,8884
aaf882ecf,9,0,10,32694,325,9476
aaf882ecf,9,0,11,12042,209,7993
aaf882ecf,9,0,12,12185,210,8604
aaf882ecf,9,0,13,11174,243,7173
aaf882ecf,9,0,14,13611,265,8317
aaf882ecf,9,0,15,15535,443,11386
aaf882ecf,9,0,16,13905,315,9783
aaf882ecf,9,0,17,13749,230,9177
aaf882ecf,9,0,18,13442,235,9181
aaf882ecf,9,0,19,13303,407,8248
a91e89cd8,9,1,0,12313,192,8406
a91e89cd8,9,1,1,13866,211,8934
a91e89cd8,9,1,2,27712,181,8114
a91e89cd8,9,1,3,12808,267,8701
a91e89cd8,9,1,4,12298,211,8504
a91e89cd8,9,1,5,13502,248,8617
a91e89cd8,9,1,6,14202,219,10126
a91e89cd8,9,1,7,12824,197,8406
a91e89cd8,9,1,8,13039,227,8230
a91e89cd8,9,1,9,13889,224,8422
a91e89cd8,9,1,10,12056,195,7568
a91e89cd8,9,1,11,11686,220,8348
a91e89cd8,9,1,12,10205,171,7094
a91e89cd8,9,1,13,10695,178,6837
a91e89cd8,9,1,14,11692,211,7970
a91e89cd8,9,1,15,8826,201,5866
a91e89cd8,9,1,16,9743,232,6200
a91e89cd8,9,1,17,9129,208,6760
a91e89cd8,9,1,18,9341,205,6094
a91e89cd8,9,1,19,9235,207,6501
a91e89cd8,10,0,0,10742,242,6862
a91e89cd8,10,0,1,12183,194,7811
a91e89cd8,10,0,2,13245,188,8192
a91e89cd8,10,0,3,12031,182,7493
a91e89cd8,10,0,4,12866,202,8634
a91e89cd8,10,0,5,12680,227,8138
a91e89cd8,10,0,6,13106,210,7862
a91e89cd8,10,0,7,12959,178,7836
a91e89cd8,10,0,8,13419,200,8575
a91e89cd8,10,0,9,11734,194,8138
a91e89cd8,10,0,10,12295,224,8788
a91e89cd8,10,0,11,13082,273,8701
a91e89cd8,10,0,12,12149,299,8440
a91e89cd8,10,0,13,13954,307,8467
a91e89cd8,10,0,14,12616,218,7929
a91e89cd8,10,0,15,10092,217,7273
a91e89cd8,10,0,16,10817,212,6352
a91e89cd8,10,0,17,8719,214,5975
a91e89cd8,10,0,18,10536,211,6689
a91e89cd8,10,0,19,12309,412,8540
aaf882ecf,10,1,0,8911,183,5873
aaf882ecf,10,1,1,9821,195,6897
aaf882ecf,10,1,2,13259,177,8361
aaf882ecf,10,1,3,15084,219,8431
aaf882ecf,10,1,4,13415,273,8433
aaf882ecf,10,1,5,10947,233,6864
aaf882ecf,10,1,6,10052,166,6412
aaf882ecf,10,1,7,8246,185,6299
aaf882ecf,10,1,8,9655,186,6797
aaf882ecf,10,1,9,8872,174,6233
aaf882ecf,10,1,10,9972,191,6572
aaf882ecf,10,1,11,8213,218,5920
aaf882ecf,10,1,12,9149,222,6150
aaf882ecf,10,1,13,9328,236,6231
aaf882ecf,10,1,14,8547,213,6021
aaf882ecf,10,1,15,10077,267,6616
aaf882ecf,10,1,16,9593,221,5898
aaf882ecf,10,1,17,9623,253,6298
aaf882ecf,10,1,18,9601,175,6862
aaf882ecf,10,1,19,9056,269,6010
aaf882ecf,11,0,0,9058,219,6585
aaf882ecf,11,0,1,10586,205,6784
aaf882ecf,11,0,2,8526,222,6070
aaf882ecf,11,0,3,9858,191,6864
aaf882ecf,11,0,4,8960,190,6067
aaf882ecf,11,0,5,9519,172,6320
aaf882ecf,11,0,6,11661,252,7759
aaf882ecf,11,0,7,11708,218,7967
aaf882ecf,11,0,8,12429,309,8362
aaf882ecf,11,0,9,13317,258,9012
aaf882ecf,11,0,10,13820,237,10671
aaf882ecf,11,0,11,13735,225,9072
aaf882ecf,11,0,12,12174,205,8248
aaf882ecf,11,0,13,13637,228,9815
aaf882ecf,11,0,14,13273,194,8956
aaf882ecf,11,0,15,15169,420,10048
aaf882ecf,11,0,16,15267,230,10185
aaf882ecf,11,0,17,14487,249,9413
aaf882ecf,11,0,18,13754,246,7961
aaf882ecf,11,0,19,13043,281,8484
a91e89cd8,11,1,0,10803,213,7652
a91e89cd8,11,1,1,13044,261,9536
a91e89cd8,11,1,2,14059,268,9455
a91e89cd8,11,1,3,13813,242,9004
a91e89cd8,11,1,4,12896,272,9128
a91e89cd8,11,1,5,12599,194,8086
a91e89cd8,11,1,6,9305,207,6206
a91e89cd8,11,1,7,12105,240,8795
a91e89cd8,11,1,8,11122,245,8305
a91e89cd8,11,1,9,11012,196,6804
a91e89cd8,11,1,10,12502,282,8509
a91e89cd8,11,1,11,12797,259,9196
a91e89cd8,11,1,12,11419,206,8733
a91e89cd8,11,1,13,18962,413,28218
a91e89cd8,11,1,14,11332,259,8329
a91e89cd8,11,1,15,12354,196,8977
a91e89cd8,11,1,16,12428,268,9228
a91e89cd8,11,1,17,15540,323,10949
a91e89cd8,11,1,18,9075,262,6684
a91e89cd8,11,1,19,8892,202,6390
a91e89cd8,12,0,0,13950,346,9283
a91e89cd8,12,0,1,13085,293,8188
a91e89cd8,12,0,2,13687,230,9042
a91e89cd8,12,0,3,12263,286,7451
a91e89cd8,12,0,4,9803,245,6981
a91e89cd8,12,0,5,8819,219,6025
a91e89cd8,12,0,6,9015,231,5862
a91e89cd8,12,0,7,9174,212,6259
a91e89cd8,12,0,8,10839,293,24913
a91e89cd8,12,0,9,10224,222,7492
a91e89cd8,12,0,10,11216,185,7831
a91e89cd8,12,0,11,10592,183,7353
a91e89cd8,12,0,12,10672,173,7214
a91e89cd8,12,0,13,10870,200,7581
a91e89cd8,12,0,14,9427,235,6563
a91e89cd8,12,0,15,10009,233,7072
a91e89cd8,12,0,16,8703,203,6172
a91e89cd8,12,0,17,11768,244,7175
a91e89cd8,12,0,18,9561,211,6420
a91e89cd8,12,0,19,9000,207,5691
aaf882ecf,12,1,0,15680,347,10711
aaf882ecf,12,1,1,9465,162,5956
aaf882ecf,12,1,2,9900,185,6749
aaf882ecf,12,1,3,9848,230,7080
aaf882ecf,12,1,4,8954,214,6246
aaf882ecf,12,1,5,10793,198,6846
aaf882ecf,12,1,6,9188,166,6023
aaf882ecf,12,1,7,8935,159,5960
aaf882ecf,12,1,8,8843,186,6431
aaf882ecf,12,1,9,9131,177,5995
aaf882ecf,12,1,10,9915,150,6415
aaf882ecf,12,1,11,8600,147,5844
aaf882ecf,12,1,12,9751,174,6828
aaf882ecf,12,1,13,9867,175,6560
aaf882ecf,12,1,14,8673,224,6170
aaf882ecf,12,1,15,9238,210,6916
aaf882ecf,12,1,16,13737,269,9199
aaf882ecf,12,1,17,14052,286,9006
aaf882ecf,12,1,18,10610,228,7548
aaf882ecf,12,1,19,9590,187,7260
aaf882ecf,13,0,0,9975,196,7024
aaf882ecf,13,0,1,8747,190,6158
aaf882ecf,13,0,2,10347,219,6703
aaf882ecf,13,0,3,9699,192,6390
aaf882ecf,13,0,4,9205,215,6455
aaf882ecf,13,0,5,8410,215,6054
aaf882ecf,13,0,6,9081,195,6316
aaf882ecf,13,0,7,9513,200,6602
aaf882ecf,13,0,8,10156,291,7356
aaf882ecf,13,0,9,11441,257,7685
aaf882ecf,13,0,10,11696,199,7515
aaf882ecf,13,0,11,9045,247,5894
aaf882ecf,13,0,12,9184,188,6470
aaf882ecf,13,0,13,11584,269,7422
aaf882ecf,13,0,14,12683,295,8213
aaf882ecf,13,0,15,11738,199,8102
aaf882ecf,13,0,16,9846,184,7003
aaf882ecf,13,0,17,28727,251,7712
aaf882ecf,13,0,18,31443,256,25493
aaf882ecf,13,0,19,11229,215,7720
a91e89cd8,13,1,0,12078,196,8938
a91e89cd8,13,1,1,11222,194,7937
a91e89cd8,13,1,2,10105,278,7649
a91e89cd8,13,1,3,8722,186,5830
a91e89cd8,13,1,4,8434,196,5792
a91e89cd8,13,1,5,9687,209,6609
a91e89cd8,13,1,6,8335,212,5863
a91e89cd8,13,1,7,10926,239,7582
a91e89cd8,13,1,8,9148,236,6843
a91e89cd8,13,1,9,9383,209,6456
a91e89cd8,13,1,10,12547,5934,9410
a91e89cd8,13,1,11,12960,280,9109
a91e89cd8,13,1,12,12978,317,9331
a91e89cd8,13,1,13,12201,228,8469
a91e89cd8,13,1,14,9427,229,6312
a91e89cd8,13,1,15,8440,196,5979
a91e89cd8,13,1,16,8809,252,5584
a91e89cd8,13,1,17,7511,186,5276
a91e89cd8,13,1,18,8267,223,5999
a91e89cd8,13,1,19,8438,190,5426
a91e89cd8,14,0,0,8064,190,5713
a91e89cd8,14,0,1,8311,211,5492
a91e89cd8,14,0,2,8308,200,5211
a91e89cd8,14,0,3,7859,212,5427
a91e89cd8,14,0,4,7811,196,5243
a91e89cd8,14,0,5,8234,220,5167
a91e89cd8,14,0,6,7583,197,5183
a91e89cd8,14,0,7,7932,197,5320
a91e89cd8,14,0,8,7965,189,5954
a91e89cd8,14,0,9,8178,182,5261
a91e89cd8,14,0,10,7640,181,5202
a91e89cd8,14,0,11,8600,219,5702
a91e89cd8,14,0,12,8723,230,5533
a91e89cd8,14,0,13,7540,183,4897
a91e89cd8,14,0,14,8440,183,5861
a91e89cd8,14,0,15,8309,197,5831
a91e89cd8,14,0,16,7480,200,5358
a91e89cd8,14,0,17,8378,220,5559
a91e89cd8,14,0,18,8088,203,5498
a91e89cd8,14,0,19,8109,186,5342
aaf882ecf,14,1,0,8224,183,5504
aaf882ecf,14,1,1,8442,187,5504
aaf882ecf,14,1,2,8634,229,5869
aaf882ecf,14,1,3,8274,204,5332
aaf882ecf,14,1,4,7862,188,5168
aaf882ecf,14,1,5,8525,185,6103
aaf882ecf,14,1,6,7681,198,5228
aaf882ecf,14,1,7,9309,175,6577
aaf882ecf,14,1,8,9735,188,6033
aaf882ecf,14,1,9,9782,250,6397
aaf882ecf,14,1,10,9678,217,7292
aaf882ecf,14,1,11,9422,216,6415
aaf882ecf,14,1,12,9253,209,6174
aaf882ecf,14,1,13,8736,220,5694
aaf882ecf,14,1,14,7999,218,5532
aaf882ecf,14,1,15,8046,204,5432
aaf882ecf,14,1,16,8106,214,5415
aaf882ecf,14,1,17,9150,227,5631
aaf882ecf,14,1,18,8780,221,5801
aaf882ecf,14,1,19,8880,220,5380
aaf882ecf,15,0,0,8065,213,5565
aaf882ecf,15,0,1,8572,186,5463
aaf882ecf,15,0,2,8245,180,5793
aaf882ecf,15,0,3,8972,237,6094
aaf882ecf,15,0,4,8827,220,5904
aaf882ecf,15,0,5,8571,217,5814
aaf882ecf,15,0,6,8431,216,5621
aaf882ecf,15,0,7,8013,195,5204
aaf882ecf,15,0,8,7768,164,5442
aaf882ecf,15,0,9,8329,180,5701
aaf882ecf,15,0,10,8090,188,5502
aaf882ecf,15,0,11,8047,155,5998
aaf882ecf,15,0,12,7797,179,5552
aaf882ecf,15,0,13,7788,149,5082
aaf882ecf,15,0,14,8387,186,6055
aaf882ecf,15,0,15,7909,183,5436
aaf882ecf,15,0,16,8085,216,5466
aaf882ecf,15,0,17,7810,169,5158
aaf882ecf,15,0,18,8113,172,5478
aaf882ecf,15,0,19,8033,171,5338
a91e89cd8,15,1,0,8307,202,5646
a91e89cd8,15,1,1,8689,238,5751
a91e89cd8,15,1,2,7782,232,5284
a91e89cd8,15,1,3,8840,230,5610
a91e89cd8,15,1,4,9412,264,6309
a91e89cd8,15,1,5,10536,390,6479
a91e89cd8,15,1,6,10396,247,6820
a91e89cd8,15,1,7,10077,222,6371
a91e89cd8,15,1,8,8795,250,5930
