sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
459,45854653,45854669,45862292,7639,16,7623,45000,49417,49440,500,500,-4440
460,45954699,45954715,45962302,7603,16,7587,45000,49440,49462,500,500,-4462
461,46054746,46054762,46062307,7561,16,7545,45000,49462,49484,500,500,-4484
462,46154792,46154808,46162292,7500,16,7484,45000,49484,49506,500,500,-4506
463,46254839,46254855,46262299,7460,16,7444,45000,49506,49528,500,500,-4528
464,46354886,46354902,46362307,7421,16,7405,45000,49528,49550,500,500,-4550
465,46454933,46454949,46462293,7360,16,7344,45000,49550,49572,500,500,-4572
466,46554980,46554995,46562290,7310,15,7295,45000,49572,49593,500,500,-4593
467,46655026,46655042,46662325,7299,16,7283,45000,49593,49615,500,500,-4615
468,46755093,46755109,46762326,7233,16,7217,45000,49615,49637,500,500,-4637
469,46855139,46855155,46862313,7174,16,7158,45000,49637,49658,500,500,-4658
470,46955185,46955202,46962299,7114,17,7097,45000,49658,49679,500,500,-4679
471,47055232,47055248,47062292,7060,16,7044,45000,49679,49701,500,500,-4701
472,47155278,47155293,47162301,7023,15,7008,45000,49701,49722,500,500,-4722
473,47255324,47255341,47262303,6979,17,6962,45000,49722,49743,500,500,-4743
474,47355371,47355387,47362310,6939,16,6923,45000,49743,49764,500,500,-4764
475,47455419,47455435,47462298,6879,16,6863,45000,49764,49785,500,500,-4785
476,47555464,47555480,47562291,6827,16,6811,45000,49785,49806,500,500,-4806
477,47655510,47655526,47662308,6798,16,6782,45000,49806,49827,500,500,-4827
478,47755559,47755575,47762298,6739,16,6723,45000,49827,49847,500,500,-4847
479,47855605,47855621,47862294,6689,16,6673,45000,49847,49868,500,500,-4868
480,47955652,47955668,47962291,6639,16,6623,45000,49868,49888,500,500,-4888
481,48055699,48055715,48062298,6599,16,6583,45000,49888,49909,500,500,-4909
482,48155746,48155762,48162293,6547,16,6531,45000,49909,49929,500,500,-4929
483,48255792,48255809,48262289,6497,17,6480,45000,49929,49950,500,500,-4950
484,48355839,48355855,48362309,6470,16,6454,45000,49950,49970,500,500,-4970
485,48455887,48455903,48462297,6410,16,6394,45000,49970,49990,500,500,-4990
486,48555934,48555950,48562304,6370,16,6354,45000,49990,50010,500,500,-5010
487,48655981,48655997,48662299,6318,16,6302,45000,50010,50030,500,500,-5030
488,48756028,48756044,48762295,6267,16,6251,45000,50030,50050,500,500,-5050
489,48856075,48856091,48862295,6220,16,6204,45000,50050,50070,500,500,-5070
490,48956121,48956137,48962300,6179,16,6163,45000,50070,50089,500,500,-5089
491,49056169,49056185,49062297,6128,16,6112,45000,50089,50109,500,500,-5109
492,49156216,49156231,49162295,6079,15,6064,45000,50109,50128,500,500,-5128
493,49256263,49256278,49262304,6041,15,6026,45000,50128,50148,500,500,-5148
494,49356310,49356326,49362306,5996,16,5980,45000,50148,50167,500,500,-5167
495,49456356,49456372,49462322,5966,16,5950,45000,50167,50187,500,500,-5187
496,49556404,49556420,49562317,5913,16,5897,45000,50187,50206,500,500,-5206
497,49656450,49656466,49662306,5856,16,5840,45000,50206,50225,500,500,-5225
498,49756497,49756513,49762295,5798,16,5782,45000,50225,50244,500,500,-5244
499,49856544,49856560,49862304,5760,16,5744,45000,50244,50263,500,500,-5263
500,49956592,49956608,49965137,8545,16,8529,45000,50263,50282,500,500,-5282
501,50056642,50056658,50062252,5610,16,5594,45000,50282,50301,500,500,-5301
502,50156689,50156705,50162298,5609,16,5593,45000,50301,50320,500,500,-5320
503,50256738,50256755,50262303,5565,17,5548,45000,50320,50339,500,500,-5339
504,50356786,50356803,50362298,5512,17,5495,45000,50339,50357,500,500,-5357
505,50456833,50456849,50462310,5477,16,5461,45000,50357,50376,500,500,-5376
506,50556899,50556915,50562300,5401,16,5385,45000,50376,50394,500,500,-5394
507,50656946,50656962,50662289,5343,16,5327,45000,50394,50413,500,500,-5413
508,50756993,50757009,50762297,5304,16,5288,45000,50413,50431,500,500,-5431
509,50857039,50857055,50862304,5265,16,5249,45000,50431,50449,500,500,-5449
510,50957087,50957103,50962291,5204,16,5188,45000,50449,50468,500,500,-5468
511,51057133,51057149,51062300,5167,16,5151,45000,50468,50486,500,500,-5486
512,51157199,51157215,51162305,5106,16,5090,45000,50486,50504,500,500,-5504
513,51257245,51257262,51262292,5047,17,5030,45000,50504,50522,500,500,-5522
514,51357292,51357308,51362292,5000,16,4984,45000,50522,50540,500,500,-5540
515,51457339,51457355,51462312,4973,16,4957,45000,50540,50558,500,500,-5558
516,51557385,51557401,51562298,4913,16,4897,45000,50558,50575,500,500,-5575
517,51657432,51657448,51662291,4859,16,4843,45000,50575,50593,500,500,-5593
518,51757479,51757495,51762300,4821,16,4805,45000,50593,50611,500,500,-5611
519,51857526,51857542,51862307,4781,16,4765,45000,50611,50628,500,500,-5628
520,51957573,51957589,51962293,4720,16,4704,45000,50628,50646,500,500,-5646
521,52057619,52057635,52062301,4682,16,4666,45000,50646,50663,500,500,-5663
522,52157667,52157683,52162326,4659,16,4643,45000,50663,50680,500,500,-5680
523,52257714,52257730,52262322,4608,16,4592,45000,50680,50698,500,500,-5698
524,52357760,52357776,52362321,4561,16,4545,45000,50698,50715,500,500,-5715
525,52457807,52457823,52462300,4493,16,4477,45000,50715,50732,500,500,-5732
526,52557854,52557870,52562292,4438,16,4422,45000,50732,50749,500,500,-5749
527,52657900,52657916,52662284,4384,16,4368,45000,50749,50766,500,500,-5766
528,52757947,52757963,52762303,4356,16,4340,45000,50766,50783,500,500,-5783
529,52857994,52858010,52862306,4312,16,4296,45000,50783,50800,500,500,-5800
530,52958040,52958057,52962291,4251,17,4234,45000,50800,50817,500,500,-5817
531,53058087,53058103,53062300,4213,16,4197,45000,50817,50833,500,500,-5833
532,53158134,53158151,53162301,4167,17,4150,45000,50833,50850,500,500,-5850
533,53258180,53258196,53262295,4115,16,4099,45000,50850,50867,500,500,-5867
534,53358227,53358243,53362293,4066,16,4050,45000,50867,50883,500,500,-5883
535,53458274,53458290,53462301,4027,16,4011,45000,50883,50900,500,500,-5900
536,53558320,53558337,53562299,3979,17,3962,45000,50900,50916,500,500,-5916
537,53658367,53658383,53662305,3938,16,3922,45000,50916,50932,500,500,-5932
538,53758415,53758431,53762295,3880,16,3864,45000,50932,50949,500,500,-5949
539,53858460,53858476,53862282,3822,16,3806,45000,50949,50965,500,500,-5965
540,53958507,53958522,53962299,3792,15,3777,45000,50965,50981,500,500,-5981
541,54058554,54058586,54062294,3740,32,3708,45000,50981,50997,500,500,-5997
542,54158601,54158617,54162296,3695,16,3679,45000,50997,51013,500,500,-6013
543,54258647,54258663,54262299,3652,16,3636,45000,51013,51029,500,500,-6029
544,54358693,54358709,54362304,3611,16,3595,45000,51029,51045,500,500,-6045
545,54458738,54458755,54462293,3555,17,3538,45000,51045,51061,500,500,-6061
546,54558785,54558801,54562309,3524,16,3508,45000,51061,51077,500,500,-6077
547,54658832,54658848,54662297,3465,16,3449,45000,51077,51092,500,500,-6092
548,54758878,54758894,54762303,3425,16,3409,45000,51092,51108,500,500,-6108
549,54858925,54858940,54862309,3384,15,3369,45000,51108,51123,500,500,-6123
550,54958971,54958987,54962326,3355,16,3339,45000,51123,51139,500,500,-6139
551,55059017,55059033,55062321,3304,16,3288,45000,51139,51154,500,500,-6154
552,55159063,55159078,55162308,3245,15,3230,45000,51154,51170,500,500,-6170
553,55259109,55259125,55262295,3186,16,3170,45000,51170,51185,500,500,-6185
554,55359155,55359171,55362302,3147,16,3131,45000,51185,51200,500,500,-6200
555,55459201,55459217,55462296,3095,16,3079,45000,51200,51216,500,500,-6216
556,55559247,55559263,55562294,3047,16,3031,45000,51216,51231,500,500,-6231
557,55659293,55659309,55662293,3000,16,2984,45000,51231,51246,500,500,-6246
558,55759340,55759356,55762284,2944,16,2928,45000,51246,51261,500,500,-6261
559,55859386,55859402,55862301,2915,16,2899,45000,51261,51276,500,500,-6276
560,55959432,55959449,55962306,2874,17,2857,45000,51276,51291,500,500,-6291
561,56059479,56059495,56062294,2815,16,2799,45000,51291,51305,500,500,-6305
562,56159525,56159541,56162451,2926,16,2910,45000,51305,51320,500,500,-6320
563,56259571,56259587,56262535,2964,16,2948,45000,51320,51335,500,500,-6335
564,56359616,56359632,56362600,2984,16,2968,45000,51335,51350,500,500,-6350
565,56459662,56459678,56462663,3001,16,2985,45000,51350,51364,500,500,-6364
566,56559708,56559724,56562731,3023,16,3007,45000,51364,51379,500,500,-6379
567,56659753,56659769,56662801,3048,16,3032,45000,51379,51393,500,500,-6393
568,56759798,56759815,56762868,3070,17,3053,45000,51393,51408,500,500,-6408
569,56859845,56859861,56862915,3070,16,3054,45000,51408,51422,500,500,-6422
570,56959909,56959925,56963018,3109,16,3093,45000,51422,51436,500,500,-6436
571,57059954,57059970,57063065,3111,16,3095,45000,51436,51451,500,500,-6451
572,57160019,57160035,57163146,3127,16,3111,45000,51451,51465,500,500,-6465
573,57260064,57260080,57263196,3132,16,3116,45000,51465,51479,500,500,-6479
574,57360130,57360146,57363238,3108,16,3092,45000,51479,51493,500,500,-6493
575,57460193,57460209,57463234,3041,16,3025,45000,51493,51507,500,500,-6507
576,57560238,57560269,57563233,2995,31,2964,45000,51507,51521,500,500,-6521
577,57660290,57660307,57663260,2970,17,2953,45000,51521,51535,500,500,-6535
578,57760355,57760371,57763258,2903,16,2887,45000,51535,51549,500,500,-6549
