policy,step,elapsed_ms,setpoint_milli_c,measured_milli_c,actuator_permille,error_milli_c
manual-fixed,460,46100,45000,49484,500,-4484
manual-fixed,461,46200,45000,49506,500,-4506
manual-fixed,462,46300,45000,49528,500,-4528
manual-fixed,463,46400,45000,49550,500,-4550
manual-fixed,464,46500,45000,49572,500,-4572
manual-fixed,465,46600,45000,49593,500,-4593
manual-fixed,466,46700,45000,49615,500,-4615
manual-fixed,467,46800,45000,49637,500,-4637
manual-fixed,468,46900,45000,49658,500,-4658
manual-fixed,469,47000,45000,49679,500,-4679
manual-fixed,470,47100,45000,49701,500,-4701
manual-fixed,471,47200,45000,49722,500,-4722
manual-fixed,472,47300,45000,49743,500,-4743
manual-fixed,473,47400,45000,49764,500,-4764
manual-fixed,474,47500,45000,49785,500,-4785
manual-fixed,475,47600,45000,49806,500,-4806
manual-fixed,476,47700,45000,49827,500,-4827
manual-fixed,477,47800,45000,49847,500,-4847
manual-fixed,478,47900,45000,49868,500,-4868
manual-fixed,479,48000,45000,49888,500,-4888
manual-fixed,480,48100,45000,49909,500,-4909
manual-fixed,481,48200,45000,49929,500,-4929
manual-fixed,482,48300,45000,49950,500,-4950
manual-fixed,483,48400,45000,49970,500,-4970
manual-fixed,484,48500,45000,49990,500,-4990
manual-fixed,485,48600,45000,50010,500,-5010
manual-fixed,486,48700,45000,50030,500,-5030
manual-fixed,487,48800,45000,50050,500,-5050
manual-fixed,488,48900,45000,50070,500,-5070
manual-fixed,489,49000,45000,50089,500,-5089
manual-fixed,490,49100,45000,50109,500,-5109
manual-fixed,491,49200,45000,50128,500,-5128
manual-fixed,492,49300,45000,50148,500,-5148
manual-fixed,493,49400,45000,50167,500,-5167
manual-fixed,494,49500,45000,50187,500,-5187
manual-fixed,495,49600,45000,50206,500,-5206
manual-fixed,496,49700,45000,50225,500,-5225
manual-fixed,497,49800,45000,50244,500,-5244
manual-fixed,498,49900,45000,50263,500,-5263
manual-fixed,499,50000,45000,50282,500,-5282
manual-fixed,500,50100,45000,50301,500,-5301
manual-fixed,501,50200,45000,50320,500,-5320
manual-fixed,502,50300,45000,50339,500,-5339
manual-fixed,503,50400,45000,50357,500,-5357
manual-fixed,504,50500,45000,50376,500,-5376
manual-fixed,505,50600,45000,50394,500,-5394
manual-fixed,506,50700,45000,50413,500,-5413
manual-fixed,507,50800,45000,50431,500,-5431
manual-fixed,508,50900,45000,50449,500,-5449
manual-fixed,509,51000,45000,50468,500,-5468
manual-fixed,510,51100,45000,50486,500,-5486
manual-fixed,511,51200,45000,50504,500,-5504
manual-fixed,512,51300,45000,50522,500,-5522
manual-fixed,513,51400,45000,50540,500,-5540
manual-fixed,514,51500,45000,50558,500,-5558
manual-fixed,515,51600,45000,50575,500,-5575
manual-fixed,516,51700,45000,50593,500,-5593
manual-fixed,517,51800,45000,50611,500,-5611
manual-fixed,518,51900,45000,50628,500,-5628
manual-fixed,519,52000,45000,50646,500,-5646
manual-fixed,520,52100,45000,50663,500,-5663
manual-fixed,521,52200,45000,50680,500,-5680
manual-fixed,522,52300,45000,50698,500,-5698
manual-fixed,523,52400,45000,50715,500,-5715
manual-fixed,524,52500,45000,50732,500,-5732
manual-fixed,525,52600,45000,50749,500,-5749
manual-fixed,526,52700,45000,50766,500,-5766
manual-fixed,527,52800,45000,50783,500,-5783
manual-fixed,528,52900,45000,50800,500,-5800
manual-fixed,529,53000,45000,50817,500,-5817
manual-fixed,530,53100,45000,50833,500,-5833
manual-fixed,531,53200,45000,50850,500,-5850
manual-fixed,532,53300,45000,50867,500,-5867
manual-fixed,533,53400,45000,50883,500,-5883
manual-fixed,534,53500,45000,50900,500,-5900
manual-fixed,535,53600,45000,50916,500,-5916
manual-fixed,536,53700,45000,50932,500,-5932
manual-fixed,537,53800,45000,50949,500,-5949
manual-fixed,538,53900,45000,50965,500,-5965
manual-fixed,539,54000,45000,50981,500,-5981
manual-fixed,540,54100,45000,50997,500,-5997
manual-fixed,541,54200,45000,51013,500,-6013
manual-fixed,542,54300,45000,51029,500,-6029
manual-fixed,543,54400,45000,51045,500,-6045
manual-fixed,544,54500,45000,51061,500,-6061
manual-fixed,545,54600,45000,51077,500,-6077
manual-fixed,546,54700,45000,51092,500,-6092
manual-fixed,547,54800,45000,51108,500,-6108
manual-fixed,548,54900,45000,51123,500,-6123
manual-fixed,549,55000,45000,51139,500,-6139
manual-fixed,550,55100,45000,51154,500,-6154
manual-fixed,551,55200,45000,51170,500,-6170
manual-fixed,552,55300,45000,51185,500,-6185
manual-fixed,553,55400,45000,51200,500,-6200
manual-fixed,554,55500,45000,51216,500,-6216
manual-fixed,555,55600,45000,51231,500,-6231
manual-fixed,556,55700,45000,51246,500,-6246
manual-fixed,557,55800,45000,51261,500,-6261
manual-fixed,558,55900,45000,51276,500,-6276
manual-fixed,559,56000,45000,51291,500,-6291
manual-fixed,560,56100,45000,51305,500,-6305
manual-fixed,561,56200,45000,51320,500,-6320
manual-fixed,562,56300,45000,51335,500,-6335
manual-fixed,563,56400,45000,51350,500,-6350
manual-fixed,564,56500,45000,51364,500,-6364
manual-fixed,565,56600,45000,51379,500,-6379
manual-fixed,566,56700,45000,51393,500,-6393
manual-fixed,567,56800,45000,51408,500,-6408
manual-fixed,568,56900,45000,51422,500,-6422
manual-fixed,569,57000,45000,51436,500,-6436
manual-fixed,570,57100,45000,51451,500,-6451
manual-fixed,571,57200,45000,51465,500,-6465
manual-fixed,572,57300,45000,51479,500,-6479
manual-fixed,573,57400,45000,51493,500,-6493
manual-fixed,574,57500,45000,51507,500,-6507
manual-fixed,575,57600,45000,51521,500,-6521
manual-fixed,576,57700,45000,51535,500,-6535
manual-fixed,577,57800,45000,51549,500,-6549
manual-fixed,578,57900,45000,51563,500,-6563
manual-fixed,579,58000,45000,51576,500,-6576
manual-fixed,580,58100,45000,51590,500,-6590
manual-fixed,581,58200,45000,51604,500,-6604
manual-fixed,582,58300,45000,51617,500,-6617
manual-fixed,583,58400,45000,51631,500,-6631
manual-fixed,584,58500,45000,51644,500,-6644
manual-fixed,585,58600,45000,51658,500,-6658
manual-fixed,586,58700,45000,51671,500,-6671
manual-fixed,587,58800,45000,51684,500,-6684
manual-fixed,588,58900,45000,51698,500,-6698
manual-fixed,589,59000,45000,51711,500,-6711
manual-fixed,590,59100,45000,51724,500,-6724
