index,input0_f32_bits,input1_f32_bits,input2_f32_bits,input3_f32_bits,expected_output_f32_bits,expected_actuator_permille,rknn_output_f32_bits,rknn_actuator_permille,wall_ns,device_us
8023,3eb1800a,be3ecf42,c0d4e3bd,3da1cac1,3f800000,1000,3f800000,1000,136207,129
8024,bf3ffac2,3df33333,3fdf27bb,3e90e560,00000000,0,00000000,0,136499,129
8025,bdd77d95,bea779a7,c10bdcc6,3d656042,3f800000,1000,3f800000,1000,136791,129
8026,401dfd8b,3f607c85,c0760419,3ea66666,3f800000,1000,3f800000,1000,141749,134
8027,be92f1aa,3e3b020c,40cd14e4,3f781062,00000000,0,00000000,0,137957,131
8028,bc267621,3e4bd07d,c0055e9e,3f2353f8,3f220963,633,3f222000,633,136791,129
8029,bfd39778,bf3da9fc,c1168e8a,3f7df3b6,3f7c86f0,986,3f7c8000,986,137666,130
8030,3d8f9097,3f5b5c29,40a9bcd3,3eca3d71,00000000,0,00000000,0,136207,129
8031,bf854802,3f349eed,3fba2d0e,3f4353f8,00000000,0,00000000,0,135624,128
8032,bf70cc79,be1a36e3,41000000,3f4b851f,00000000,0,00000000,0,135916,129
8033,bff8548b,3ddd21ff,bfdaa305,3eec8b44,00000000,0,00000000,0,135915,129
8034,3ec28a1e,be29a027,c0aa9e1b,3ddf3b64,3f800000,1000,3f800000,1000,137082,130
8035,c04a21ea,bf29295f,409220c5,00000000,00000000,0,00000000,0,135624,129
8036,bfcf3040,3e1e9ad4,bfee83e4,3f4d0e56,00000000,0,00000000,0,135915,129
8037,bfa42507,3f4a617c,bea24dd3,3d072b02,3e1a47eb,151,3e1a4000,151,136499,130
8038,bfaebd90,beb346dc,c0db46dc,3e5f3b64,3f17b80b,593,3f17c000,593,136499,129
8039,3ead03da,beaa0aa6,c01f7176,3e083127,3f6bc8a0,921,3f6be000,921,136207,129
8040,3ef1ee24,3fbf809d,c004bac7,3f19db23,3f800000,1000,3f800000,1000,136499,129
8041,3fd1613d,3f7123a3,3f9bc361,3f30a3d7,3f800000,1000,3f800000,1000,137666,130
8042,be427fa2,3f2bb646,c0e2240b,3f29ba5e,3f800000,1000,3f800000,1000,136207,129
8043,406a046c,3fc9e3bd,404da858,3f5f7cee,3f800000,1000,3f800000,1000,157206,149
8044,3eb0b0f2,beb9f3b6,bfca3055,3f1fbe77,3f50bb4d,815,3f50c000,815,138832,131
8045,c038533b,bf1ba36e,c0171f8a,3f65a1cb,00000000,0,00000000,0,142915,134
8046,bf45e743,3df81062,c0e2a305,3f47ae14,3f800000,1000,3f800000,1000,138540,132
8047,be636e2f,3e39e83e,3fd98937,3c54fdf4,00000000,0,00000000,0,137957,131
8048,bea555c5,3f2dc505,3f73dd98,3eed9168,3eb052ac,344,3eb04000,344,136207,129
8049,bfeaa6f4,bd440b78,c0d5b3d0,3d343958,3e9ea6c0,310,3e9f0000,311,137082,130
8050,be6147ae,bcb41f21,40bb54ca,3eba5e35,00000000,0,00000000,0,137082,130
8051,3fcb2aae,3ee4aa65,40298106,3efef9db,3f800000,1000,3f800000,1000,136499,129
8052,bff637df,3e8491d1,40beeb1c,3f591687,00000000,0,00000000,0,136790,130
8053,3f9c6e6e,3d3b645a,40803fe6,3f03126f,3f7acf62,980,3f7a8000,979,136791,130
8054,3e804428,3ef84189,c0ecb852,3eb43958,3f800000,1000,3f800000,1000,137082,130
8055,404a718b,3fab0553,410d0d1b,3ef4bc6a,3f800000,1000,3f800000,1000,137082,130
8056,bcf5ec81,3f928241,3e30f27c,3f0dd2f2,3f800000,1000,3f800000,1000,136498,129
8057,3f2b7176,3f85e979,407db22d,3e808312,3f800000,1000,3f800000,1000,137082,130
8058,3fe2a844,3f871c43,3dfd8adb,3f4978d5,3f800000,1000,3f800000,1000,138540,131
8059,3fd3c600,3fc4119d,c11b9097,3e8fdf3b,3f800000,1000,3f800000,1000,136207,129
8060,c00a0ded,bf02b852,40e1b2ff,3f1eb852,00000000,0,00000000,0,136207,130
8061,bf8ef49d,bec5930c,3ff381d8,3ef0a3d7,00000000,0,00000000,0,136790,130
8062,bf697247,3f69a9fc,3f92786c,3e85a1cb,3e52962b,206,3e522000,205,135916,129
8063,be25d8d8,be020f91,40c573eb,3ea9fbe7,00000000,0,00000000,0,136499,129
8064,bf908659,3d5aacda,41098adb,3e27ef9e,00000000,0,00000000,0,137374,130
8065,bffd4de8,3c44d014,41023261,3f5645a2,00000000,0,00000000,0,136499,129
8066,bf92aed1,be1016f0,beb71759,3e624dd3,00000000,0,00000000,0,141749,135
8067,3fe8fa59,3f89d773,411c6a16,3f3ced91,3f800000,1000,3f800000,1000,140874,134
8068,3f2a71de,3e90f5c3,c0bbd639,3e591687,3f800000,1000,3f800000,1000,137957,131
8069,bf2f290b,3f8b816f,405a8588,3f0b020c,3dc9b8a6,98,3dc94000,98,137082,130
8070,bf030015,3fa552bd,c0c4985f,3f6e5604,3f800000,1000,3f800000,1000,137666,130
8071,3f0024b3,be3a0903,c08a5e35,3f3b22d1,3f800000,1000,3f800000,1000,137082,130
8072,3f8eb9a1,3ea26e98,406ecd9f,3ec10625,3f800000,1000,3f800000,1000,135624,129
8073,3f98e369,3f9ac84b,c108367a,3e03126f,3f800000,1000,3f800000,1000,136790,130
8074,3fe178d5,3fa5c083,40b08db9,3e1cac08,3f800000,1000,3f800000,1000,136790,130
